glasnost|glasnost|гла́сность|glasnost|publicity|In 1986 the term was used by Mikhail Gorbachev as a political slogan for increased openness and transparency in government institutions and activities in the Soviet Union.|
Komitet Gosudarstvennoi Bezopastnosti|KGB, Committee for State Security|Комитет Государственной Безопасности|Komitet Gosudarstvennoj Bezopasnosti|KGB, Committee for State Security|The KGB, an initialism for Komitet Gosudarstvennoy Bezopasnosti, translated in English as Committee for State Security, was the main security agency for the Soviet Union from 1954 until its break-up in 1991.|
perestroika|perestroika, restructuring of the political and economic system.|перестройка|perestroika|rebuilding||
rayon|raion, a type of administrative unit|район|rajón|raion, a type of administrative unit|The term is a loanword from French rayon (lit. honeycomb, departement, radius).|
rubel|ruble, a currency unit|рубль|rublʹ|ruble, a currency unit||
samovar|samovar, a kind of water boiler|самовар|samovar|samovar, a kind of water boiler||
sputnik|sputnik|Спутник|spútnik|sputnik, a fellow traveler, satellite||
