kimchi|kimchi|김치||kim-chi|kimchi|traditional side dishmade from salted and fermented vegetables.|
taekwondo|taekwondo|태권도|跆拳道|taekwondo|taekwondo|Taekwondo is a Korean martial art, characterized by its emphasis on head-height kicks, jumping and spinning kicks, and fast kicking techniques.|
won|won|원|圓|won|1. won, the currencies 2. circle|Won are currencies of South and North Korea.|
